x,y
71.7966072,40.402609
71.9965977,40.5841739
72.1965883,40.7650575
72.3965788,40.9452395
72.5965694,41.12471
72.7965599,41.3034416
72.9965505,41.4814224
73.196541,41.6586312
73.3965316,41.8350459
73.5965221,42.010656
73.7965127,42.1854315
73.9965032,42.35936
74.1964938,42.532418
74.3964843,42.7045819
74.5964749,42.8758402
74.7964654,43.0461603
74.996456,43.2155291
75.1964465,43.3839208
75.3964371,43.5513102
75.5964276,43.7176844
75.7964182,43.8830084
75.9964087,44.0472681
76.1963993,44.2104354
76.3963898,44.3724833
76.5963804,44.5333978
76.7963709,44.693144
76.9963615,44.8517083
77.196352,45.0090685
77.3963426,45.1652069
77.5963331,45.3201147
77.7963237,45.4737649
77.9963142,45.6261437
78.1963048,45.7772296
78.3962953,45.9270026
78.5962859,46.0754489
78.7962764,46.2225471
78.996267,46.3682874
79.1962575,46.5126518
79.3962481,46.6556245
79.5962386,46.7971952
79.7962291,46.9373426
79.9962197,47.0760564
80.1962102,47.2133183
80.3962008,47.3491116
80.5961913,47.4834234
80.7961819,47.6162332
80.9961724,47.7475276
81.196163,47.8772882
81.3961535,48.0054977
81.5961441,48.1321411
81.7961346,48.2571989
81.9961252,48.3806555
82.1961157,48.5024925
82.3961063,48.6226916
82.5960968,48.7412356
82.7960874,48.8581049
82.9960779,48.9732823
83.1960685,49.0867537
83.396059,49.198507
83.5960496,49.3085317
83.7960401,49.4168264
83.9960307,49.5233829
84.1960212,49.6282078
84.3960118,49.7313061
84.5960023,49.8326809
84.7959929,49.9323466
84.9959834,50.0303056
85.195974,50.1265718
85.3959645,50.2211541
85.5959551,50.3140585
85.7959456,50.4053009
85.9959362,50.4948848
86.1959267,50.5828256
86.3959173,50.6691331
86.5959078,50.7538148
86.7958984,50.8368873
86.9958889,50.9183555
87.1958795,50.9982357
87.39587,51.0765384
87.5958606,51.1532728
87.7958511,51.2284559
87.9958417,51.302094
88.1958322,51.374204
88.3958228,51.4447973
88.5958133,51.5138842
88.7958039,51.5814819
88.9957944,51.6475982
89.195785,51.7122502
89.3957755,51.77545
89.5957661,51.8372092
89.7957566,51.8975449
89.9957472,51.9564663
90.1957377,52.0139904
90.3957283,52.0701303
90.5957188,52.1248983
90.7957094,52.1783115
90.9956999,52.2303803
91.1956905,52.2811219
91.395681,52.3305496
91.5956716,52.378677
91.7956621,52.4255207
91.9956527,52.4710926
92.1956432,52.5154095
92.3956338,52.5584856
92.5956243,52.6003351
92.7956149,52.6409744
92.9956054,52.6804165
93.1955959,52.7186782
93.3955865,52.7557741
93.595577,52.7917188
93.7955676,52.8265288
93.9955581,52.8602179
94.1955487,52.8928027
94.3955392,52.9242983
94.5955298,52.9547198
94.7955203,52.9840837
94.9955109,53.0124044
95.1955014,53.0396983
95.395492,53.065981
95.5954825,53.0912679
95.7954731,53.1155753
95.9954636,53.1389182
96.1954542,53.1613132
96.3954447,53.1827757
96.5954353,53.2033217
96.7954258,53.2229673
96.9954164,53.241728
97.1954069,53.2596202
97.3953975,53.2766598
97.595388,53.2928626
97.7953786,53.308245
97.9953691,53.3228227
98.1953597,53.3366121
98.3953502,53.3496291
98.5953408,53.3618899
98.7953313,53.3734106
98.9953219,53.3842074
99.1953124,53.3942964
99.395303,53.4036939
99.5952935,53.4124161
99.7952841,53.4204791
99.9952746,53.4278992
100.1952652,53.4346926
100.3952557,53.4408756
100.5952463,53.4464645
100.7952368,53.4514754
100.9952274,53.4559247
101.1952179,53.4598287
101.3952085,53.4632037
101.595199,53.466066
101.7951896,53.4684319
101.9951801,53.4703177
102.1951707,53.4717397
102.3951612,53.4727144
102.5951518,53.473258
102.7951423,53.473387
102.9951329,53.4731178
103.1951234,53.472467
103.395114,53.471451
103.5951045,53.4700865
103.7950951,53.4683898
103.9950856,53.4663776
104.1950762,53.4640664
104.3950667,53.4614729
104.5950573,53.4586137
104.7950478,53.4555061
104.9950384,53.4521671
105.1950289,53.4486147
105.3950195,53.4448667
